global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
161,Febbraio,6,3,1,D1,5,0.0,1,0,0,1591.0,1612.0,-21.0,-0.013,[],[],0,{},0,0,0,0,0
162,Febbraio,6,3,2,D2,6,0.0,0,1,1,1703.0,1709.0,-6.0,-0.0035,[],[],0,{},0,0,0,0,0
163,Febbraio,6,3,3,D3,3,1.6,0,1,0,1465.8,1467.0,-1.2,-0.0008,[],[],0,{},0,0,0,0,0
164,Febbraio,6,3,4,D4,5,0.0,0,1,1,1625.5,1614.0,11.5,0.0071,[],[],0,{},0,0,0,0,0
165,Febbraio,6,3,5,D5,5,0.0,1,1,0,1625.8,1626.0,-0.2,-0.0001,[],[],0,{},0,0,0,0,0
166,Febbraio,6,4,1,D1,5,2.0,0,1,1,1545.0,1612.0,-67.0,-0.0416,[],[],0,{},0,0,0,0,0
167,Febbraio,6,4,2,D2,6,0.0,1,1,0,1774.3,1709.0,65.3,0.0382,[],[],0,{},0,0,0,0,0
168,Febbraio,6,4,3,D3,3,0.0,0,0,0,1462.0,1467.0,-5.0,-0.0034,[],[],0,{},0,0,0,0,0
169,Febbraio,6,4,4,D4,5,0.0,1,1,1,1585.7,1614.0,-28.3,-0.0175,[],[],0,{},0,0,0,0,0
170,Febbraio,6,4,5,D5,5,0.0,0,1,0,1640.1,1626.0,14.1,0.0087,[],[],0,{},0,0,0,0,0
171,Febbraio,6,5,1,D1,5,0.0,0,1,1,1619.5,1612.0,7.5,0.0046,[],[],0,{},0,0,0,0,0
172,Febbraio,6,5,2,D2,6,0.0,1,1,0,1715.2,1709.0,6.2,0.0036,[],[],0,{},0,0,0,0,0
173,Febbraio,6,5,3,D3,3,0.0,0,1,1,1444.1,1467.0,-22.9,-0.0156,[],[],0,{},0,0,0,0,0
174,Febbraio,6,5,4,D4,5,1.6,1,1,0,1555.2,1614.0,-58.8,-0.0364,[],[],0,{},0,0,0,0,0
175,Febbraio,6,5,5,D5,5,0.0,0,0,0,1623.0,1626.0,-3.0,-0.0019,[],[],0,{},0,0,0,0,0
176,Febbraio,6,6,1,D1,5,0.0,1,1,1,1619.7,1612.0,7.7,0.0048,[],[],0,{},0,0,0,0,0
177,Febbraio,6,6,2,D2,6,0.0,0,1,0,1709.5,1709.0,0.5,0.0003,[],[],0,{},0,0,0,0,0
178,Febbraio,6,6,3,D3,3,0.0,1,1,1,1445.3,1467.0,-21.7,-0.0148,[],[],0,{},0,0,0,0,0
179,Febbraio,6,6,4,D4,5,0.0,0,1,0,1619.1,1614.0,5.1,0.0031,[],[],0,{},0,0,0,0,0
180,Febbraio,6,6,5,D5,5,0.0,1,1,1,1686.3,1626.0,60.3,0.0371,[],[],0,{},0,0,0,0,0
