global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
116,Dicembre,4,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1576.8
117,Dicembre,4,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1714.0
118,Dicembre,4,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1475.1
119,Dicembre,4,6,4,D4,0,[],[],0,{},0,0,0,0.0,1,0,0,1603.2
120,Dicembre,4,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1642.1
121,Gennaio,5,1,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1619.8
122,Gennaio,5,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,2,1,1711.8
123,Gennaio,5,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1471.9
124,Gennaio,5,1,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1618.8
125,Gennaio,5,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1615.1
126,Gennaio,5,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,0,0,1595.5
127,Gennaio,5,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1647.3
128,Gennaio,5,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1463.8
129,Gennaio,5,2,4,D4,0,[],[],0,{},0,0,0,2.0,0,1,1,1621.6
130,Gennaio,5,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1639.2
131,Gennaio,5,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1605.5
132,Gennaio,5,3,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1704.3
133,Gennaio,5,3,3,D3,0,[],[],0,{},0,0,0,1.6,0,0,0,1465.8
134,Gennaio,5,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1620.8
135,Gennaio,5,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1618.4
136,Gennaio,5,4,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1612.6
137,Gennaio,5,4,2,D2,0,[],[],0,{},0,0,0,1.0,0,1,0,1712.3
138,Gennaio,5,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1466.5
139,Gennaio,5,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1608.7
140,Gennaio,5,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1639.3
141,Gennaio,5,5,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1613.7
142,Gennaio,5,5,2,D2,0,[],[],0,{},0,0,0,0.0,0,2,0,1721.6
143,Gennaio,5,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1459.4
144,Gennaio,5,5,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1611.2
145,Gennaio,5,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1625.8
146,Gennaio,5,6,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1616.7
147,Gennaio,5,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,0,0,1712.1
148,Gennaio,5,6,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1469.4
149,Gennaio,5,6,4,D4,0,[],[],0,{},0,0,0,1.0,1,1,0,1583.5
150,Gennaio,5,6,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1644.9
151,Febbraio,6,1,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,0,1603.3
152,Febbraio,6,1,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1715.1
153,Febbraio,6,1,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1468.6
154,Febbraio,6,1,4,D4,0,[],[],0,{},0,0,0,0.0,0,0,0,1542.1
155,Febbraio,6,1,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,1,1624.8
156,Febbraio,6,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,0,1618.1
157,Febbraio,6,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,1,1627.2
158,Febbraio,6,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,0,1460.6
159,Febbraio,6,2,4,D4,0,[],[],0,{},0,0,0,1.0,0,1,1,1623.2
160,Febbraio,6,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1626.2
161,Febbraio,6,3,1,D1,0,[],[],0,{},0,0,0,0.0,1,0,0,1591.0
162,Febbraio,6,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,1,1703.0
163,Febbraio,6,3,3,D3,0,[],[],0,{},0,0,0,1.6,0,1,0,1465.8
164,Febbraio,6,3,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,1,1625.5
165,Febbraio,6,3,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,0,1625.8
166,Febbraio,6,4,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1545.0
167,Febbraio,6,4,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1774.3
168,Febbraio,6,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1462.0
169,Febbraio,6,4,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1585.7
170,Febbraio,6,4,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1640.1
171,Febbraio,6,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1619.5
172,Febbraio,6,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1715.2
173,Febbraio,6,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1444.1
174,Febbraio,6,5,4,D4,0,[],[],0,{},0,0,0,1.6,1,1,0,1555.2
175,Febbraio,6,5,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1623.0
176,Febbraio,6,6,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1619.7
177,Febbraio,6,6,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1709.5
178,Febbraio,6,6,3,D3,0,[],[],0,{},0,0,0,0.0,1,1,1,1445.3
179,Febbraio,6,6,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1619.1
180,Febbraio,6,6,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1686.3
