global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
63,Novembre,3,1,3,D3,3,6.8,1,0,0,1466.6,1467.0,-0.4,-0.0003,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 5, ""plant_protein_main"": 7}",7,1,0,0,170
64,Novembre,3,1,4,D4,5,2.0,2,2,0,1587.9,1614.0,-26.1,-0.0162,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",7,0,0,0,243
65,Novembre,3,1,5,D5,5,1.0,2,0,0,1606.1,1626.0,-19.9,-0.0122,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,0,0,0,247
66,Novembre,3,2,1,D1,5,0.0,2,0,0,1608.5,1612.0,-3.5,-0.0022,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,1,1,1,258
67,Novembre,3,2,2,D2,6,2.0,1,0,0,1601.9,1709.0,-107.1,-0.0627,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,2,0,0,173
68,Novembre,3,2,3,D3,3,3.2,0,0,0,1469.7,1467.0,2.7,0.0018,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",7,1,0,0,178
69,Novembre,3,2,4,D4,5,3.6,2,0,0,1624.1,1614.0,10.1,0.0063,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 6, ""plant_protein_main"": 7}",7,1,0,0,254
70,Novembre,3,2,5,D5,5,0.0,0,1,0,1647.0,1626.0,21.0,0.0129,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 6, ""pasta_rice"": 5, ""plant_protein_main"": 7}",7,0,0,0,155
71,Novembre,3,3,1,D1,5,1.0,2,1,0,1605.8,1612.0,-6.2,-0.0038,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,3,0,0,236
72,Novembre,3,3,2,D2,6,2.0,1,1,0,1709.7,1709.0,0.7,0.0004,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 3, ""plant_protein_main"": 7}",7,3,0,0,152
73,Novembre,3,3,3,D3,3,1.6,1,0,0,1450.1,1467.0,-16.9,-0.0115,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 2, ""plant_protein_main"": 7}",7,1,0,0,142
74,Novembre,3,3,4,D4,5,0.0,2,1,0,1621.4,1614.0,7.4,0.0046,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,218
75,Novembre,3,3,5,D5,5,0.0,4,1,0,1571.9,1626.0,-54.1,-0.0333,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""plant_protein_main"": 7}",7,1,0,0,202
76,Novembre,3,4,1,D1,5,0.0,3,1,1,1608.1,1612.0,-3.9,-0.0024,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""plant_protein_main"": 7}",7,2,1,0,210
77,Novembre,3,4,2,D2,6,1.0,5,2,0,1697.6,1709.0,-11.4,-0.0067,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 6, ""plant_protein_main"": 7}",7,2,0,1,212
78,Novembre,3,4,3,D3,3,4.2,1,1,0,1446.5,1467.0,-20.5,-0.014,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,1,141
79,Novembre,3,4,4,D4,5,0.0,3,2,0,1611.3,1614.0,-2.7,-0.0017,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,207
80,Novembre,3,4,5,D5,5,1.6,1,0,0,1640.6,1626.0,14.6,0.009,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,0,0,0,127
81,Novembre,3,5,1,D1,5,3.6,4,1,0,1618.6,1612.0,6.6,0.0041,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,4,0,0,227
82,Novembre,3,5,2,D2,6,3.6,4,0,0,1714.8,1709.0,5.8,0.0034,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,2,0,2,243
83,Novembre,3,5,3,D3,3,3.2,2,1,0,1463.6,1467.0,-3.4,-0.0023,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,234
84,Novembre,3,5,4,D4,5,1.0,2,1,0,1563.4,1614.0,-50.6,-0.0314,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,226
85,Novembre,3,5,5,D5,5,3.6,2,1,0,1613.8,1626.0,-12.2,-0.0075,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,2,240
86,Novembre,3,6,1,D1,5,2.0,3,1,0,1613.9,1612.0,1.9,0.0012,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,2,1,0,234
87,Novembre,3,6,2,D2,6,4.6,3,0,0,1703.1,1709.0,-5.9,-0.0035,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,234
